symbol,expiration,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,lastTradeDate,impliedVolatility,inTheMoney
aapl,2025-11-14,AAPL251114P00110000,110.0,USD,0.03,0.0,0.0,2.0,2,0.0,0.21,REGULAR,2025-10-31 13:30:10,2.535159912109375,False
aapl,2025-11-14,AAPL251114P00125000,125.0,USD,0.02,0.0,0.0,0.0,0,0.0,0.13,REGULAR,2025-10-15 16:08:34,2.0820360449218747,False
aapl,2025-11-14,AAPL251114P00135000,135.0,USD,0.02,0.0,0.0,1.0,1,0.0,0.14,REGULAR,2025-10-20 13:33:36,1.8984380078125,False
aapl,2025-11-14,AAPL251114P00140000,140.0,USD,0.02,0.0,0.0,392.0,392,0.0,0.14,REGULAR,2025-10-24 15:16:58,1.8046884765624998,False
aapl,2025-11-14,AAPL251114P00145000,145.0,USD,0.03,0.0,0.0,0.0,4,0.0,0.15,REGULAR,2025-10-14 17:24:18,1.7304700976562502,False
aapl,2025-11-14,AAPL251114P00150000,150.0,USD,0.01,0.0,0.0,15.0,56,0.0,0.15,REGULAR,2025-10-30 18:02:03,1.640626796875,False
aapl,2025-11-14,AAPL251114P00155000,155.0,USD,0.01,0.0,0.0,1.0,10,0.0,0.08,REGULAR,2025-10-28 13:50:51,1.453127734375,False
aapl,2025-11-14,AAPL251114P00160000,160.0,USD,0.01,0.0,0.0,9.0,234,0.0,0.16,REGULAR,2025-10-28 18:25:23,1.484377578125,False
aapl,2025-11-14,AAPL251114P00165000,165.0,USD,0.02,0.0,0.0,4.0,25,0.0,0.16,REGULAR,2025-10-27 19:28:25,1.40234673828125,False
aapl,2025-11-14,AAPL251114P00170000,170.0,USD,0.01,0.0,0.0,174.0,302,0.0,0.17,REGULAR,2025-10-31 18:34:24,1.3320345898437496,False
aapl,2025-11-14,AAPL251114P00175000,175.0,USD,0.01,0.0,0.0,244.0,377,0.0,0.01,REGULAR,2025-10-31 18:34:11,0.9687503125,False
aapl,2025-11-14,AAPL251114P00180000,180.0,USD,0.01,0.0,0.0,1.0,563,0.0,0.01,REGULAR,2025-11-03 18:13:30,0.9062509375,False
aapl,2025-11-14,AAPL251114P00185000,185.0,USD,0.01,0.0,0.0,10.0,110,0.0,0.01,REGULAR,2025-11-07 16:39:49,0.8437515624999999,False
aapl,2025-11-14,AAPL251114P00190000,190.0,USD,0.01,0.0,0.0,500.0,109,0.0,0.01,REGULAR,2025-11-07 14:42:14,0.7812521875,False
aapl,2025-11-14,AAPL251114P00195000,195.0,USD,0.01,-0.01,-50.0,101.0,518,0.0,0.01,REGULAR,2025-11-07 20:11:14,0.7187528125,False
aapl,2025-11-14,AAPL251114P00200000,200.0,USD,0.01,0.0,0.0,46.0,802,0.01,0.05,REGULAR,2025-11-07 18:55:44,0.79687703125,False
aapl,2025-11-14,AAPL251114P00205000,205.0,USD,0.02,0.01,100.0,5.0,230,0.0,0.02,REGULAR,2025-11-07 18:14:38,0.6562534375000001,False
aapl,2025-11-14,AAPL251114P00210000,210.0,USD,0.02,0.01,100.0,205.0,647,0.01,0.02,REGULAR,2025-11-07 20:10:00,0.632816171875,False
aapl,2025-11-14,AAPL251114P00215000,215.0,USD,0.02,0.0,0.0,4.0,581,0.01,0.02,REGULAR,2025-11-07 20:20:57,0.57812921875,False
aapl,2025-11-14,AAPL251114P00220000,220.0,USD,0.02,-0.01,-33.333336,361.0,949,0.01,0.03,REGULAR,2025-11-07 20:54:33,0.5351608984375,False
aapl,2025-11-14,AAPL251114P00225000,225.0,USD,0.04,0.01,33.333336,283.0,1122,0.02,0.04,REGULAR,2025-11-07 20:53:50,0.500005,False
aapl,2025-11-14,AAPL251114P00230000,230.0,USD,0.04,0.0,0.0,553.0,1580,0.03,0.05,REGULAR,2025-11-07 20:54:06,0.4726615234375,False
aapl,2025-11-14,AAPL251114P00235000,235.0,USD,0.06,0.009999998,19.999996,804.0,1830,0.05,0.06,REGULAR,2025-11-07 20:52:50,0.42383388671875,False
aapl,2025-11-14,AAPL251114P00237500,237.5,USD,0.07,0.010000002,16.66667,56.0,155,0.06,0.07,REGULAR,2025-11-07 20:56:22,0.40332627929687503,False
aapl,2025-11-14,AAPL251114P00240000,240.0,USD,0.07,-0.020000003,-22.222225,1738.0,3174,0.07,0.08,REGULAR,2025-11-07 20:58:39,0.38086556640624997,False
aapl,2025-11-14,AAPL251114P00242500,242.5,USD,0.09,-0.019999996,-18.181814,606.0,693,0.09,0.1,REGULAR,2025-11-07 20:59:28,0.36133451171875,False
aapl,2025-11-14,AAPL251114P00245000,245.0,USD,0.12,-0.030000009,-20.000004,761.0,2101,0.11,0.12,REGULAR,2025-11-07 20:59:52,0.3403386279296875,False
aapl,2025-11-14,AAPL251114P00247500,247.5,USD,0.15,-0.03999999,-21.052628,321.0,503,0.14,0.15,REGULAR,2025-11-07 20:59:47,0.32031929687499994,False
aapl,2025-11-14,AAPL251114P00250000,250.0,USD,0.19,-0.08000001,-29.629633,4404.0,3741,0.19,0.2,REGULAR,2025-11-07 20:59:59,0.30322962402343745,False
